iter	R2	RMSE
186	0.8826780573	4105.804398
187	0.8827089268	4105.264207
188	0.8827332956	4104.837723
189	0.8828150538	4103.406529
190	0.8829191143	4101.584207
191	0.882947998	4101.078249
192	0.8829702298	4100.688769
193	0.8829878932	4100.379298
194	0.8830586694	4099.139027
195	0.8831170051	4098.11648
196	0.8832369478	4096.013243
197	0.8834054641	4093.056426
198	0.8835098541	4091.223706
199	0.8835881928	4089.847818
